,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
416,Voltas Beko,13690.0,4.2,WTL62UPGB,Fully,Top,4.975,6.2,Pulsator,700,No,Grey,Grey,No
417,Haier,14999.0,3.9,HTW90-1128,Semi,Top,4.975,9.0,Dual Color Vortex Pulsator Wash,1300,No,"White, Blue",White,No
418,Croma,7490.0,4.2,CRAW2221,Semi,Top,4.975,6.5,Pulsator,1300,No,White,White,No
419,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
420,ONIDA,9779.0,4.3,SMARTCARE 72,Semi,Top,4.975,7.2,Hexafin Pulsator Wash,1350,No,"White, Blue",Blue,No
421,IFB,39967.0,4.4,Senator Smart Touch SX,Fully,Front,4.975,8.0,Pulsator Wash,1400,No,Silver,Silver,Yes
422,Panasonic,19499.0,4.3,NA-F70BH9MRB,Fully,Top,5.0,7.0,Active Foam Wash,702,Yes,Silver,Middle Free Silver,No
423,LG,26990.0,4.4,FHM1065ZDL.ALSQEIL,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,Yes
424,Panasonic,19539.0,4.3,NA-F70BH9MRB,Fully,Top,5.0,7.0,Pulastor,702,Yes,Grey,Silver,No
425,BOSCH,18179.0,4.4,WOE702W0IN,Fully,Top,4.975,7.0,Punch + 3 Pulsator Wash,680,No,White,White,Yes
426,SAMSUNG,9790.0,4.3,WT65R2000HR/TL,Semi,Top,5.0,6.5,Pulsator,1300,No,"White, Grey",Light Grey,Yes
427,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
428,BOSCH,59499.0,3.8,WVG3046SIN,Washer,Dryer,5.0,8.0,Tumble Wash,1500,Yes,White,White,No
429,BOSCH,59990.0,3.0,WVG3046SIN,Washer,Dryer,4.975,8.0,Pulsator,1500,Yes,Silver,Silver,No
430,Godrej,13300.0,4.4,800 PDS/WS 800 PDS,Semi,Top,4.975,8.0,Pulsator,1200,No,"Brown, White",Lilac Sprinkle,No
431,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
432,Godrej,11490.0,4.4,WS EDGEPRO 850 ES Wn Rd,Semi,Top,4.975,8.5,Pulsator Wash,1450,No,"White, Maroon",Wine Red,Yes
433,Panasonic,19499.0,4.3,NA-F70BH9MRB,Fully,Top,5.0,7.0,Active Foam Wash,702,Yes,Silver,Middle Free Silver,No
434,Panasonic,19539.0,4.3,NA-F70BH9MRB,Fully,Top,5.0,7.0,Pulastor,702,Yes,Grey,Silver,No
435,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
436,TOSHIBA,20499.0,5.0,AW-J800A-IND(SG),Fully,Top,5.0,7.0,Pulsator,700,No,Grey,Silver,Yes
437,LG,25990.0,4.3,T70SJSS1Z,Fully,Top,5.0,7.0,Pulsator,780,No,Grey,Stainless silver,Yes
438,Whirlpool,12449.0,4.4,ACE 7.5 TRB DRY WINE DAZZLE,Semi,Top,5.0,7.5,Impellar,1450,No,Maroon,Wine Dazzle,No
439,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
440,Whirlpool,15999.0,4.3,WhiteMagic Classic 652 SD,Fully,Top,4.975,6.5,Agipeller Wash,740,No,Maroon,Wine,No
441,TOSHIBA,11699.0,5.0,VH-J85W-IND,Semi,Top,4.975,7.5,Pulsator,1250,No,"Black, White, Gold",White,No
442,SAMSUNG,59900.0,3.9,WW90K54E0UX/TL,Fully,Front,4.975,9.0,Tumble Wash,1400,Yes,Grey,Grey,No
443,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
444,Whirlpool,10509.0,4.3,Ace 7.2 Supreme,Semi,Top,4.975,7.2,Impeller Wash,1400,No,Grey,Grey,No
445,Lloyd,11790.0,4.2,LWMS85RDB,Semi,Top,4.975,8.5,Pulsator,1300,No,"Red, White",Red,No
446,Panasonic,12879.0,4.2,NA-W80H2ARB,Semi,Top,4.975,8.0,Double Action Pulsator Wash,1300,No,Blue,Blue,No
447,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
448,LG,63869.0,4.5,FHD1057SWS,Washer,Dryer,4.975,10.5,Tumble,1400,Yes,Silver,Stainless Silver,Yes
449,Voltas Beko,11999.0,3.8,WTT80DBLT,Semi,Top,5.0,8.0,Pulsator,1300,No,White,"White, Blue",No
450,LG,25190.0,4.4,T8081NEDLJ,Fully,Top,4.975,7.0,Punch + 3 Pulsator Wash,740,No,Silver,Middle Free Silver,No
451,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
452,LG,25190.0,4.5,T8077NEDLK,Fully,Top,4.975,7.0,Punch + 3 Pulsator Wash,780,No,Black,Black Knight / Black,No
453,IFB,32199.0,4.3,Senorita WX,Fully,Front,5.0,6.5,Tumble Wash,1000,Yes,White,White,Yes
454,SAMSUNG,9790.0,4.3,WT65R2000HR/TL,Semi,Top,5.0,6.5,Pulsator,1300,No,"White, Grey",Light Grey,Yes
455,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
456,Haier,14599.0,3.5,"HWM62-707BKNZP, Titanium Grey",Fully,Top,4.975,6.2,Pulsator,800,No,Grey,Titanium Grey,No
457,Whirlpool,14490.0,4.4,ACE 8.2 SUPER SOAK (TULIP PINK) (5 YR),Semi,Top,4.975,8.2,Impeller Wash,1400,No,Pink,Tulip Pink,No
458,Whirlpool,15999.0,4.3,WhiteMagic Classic 652 SD,Fully,Top,4.975,6.5,Agipeller Wash,740,No,Maroon,Wine,No
459,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
460,Haier,14990.0,4.0,HTW90-1128BT,Semi,Top,4.975,9.0,Pulsator,1000,No,"White, Maroon",Burgundy,Yes
461,SAMSUNG,20990.0,3.9,WA65M4010HL/TL,Fully,Top,4.975,6.5,STS Pulsator Wash,680,No,Blue,"Sparkling Blue, Starflower Blue",Yes
462,MarQ By Flipkart,19990.0,4.0,MQFLDG70,Fully,Front,4.975,7.0,Pulsator Wash,1200,Yes,White,White,No
463,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
464,TCL,24990.0,4.4,TWF80-G123061A03S,Fully,Front,4.975,8.0,Pulsator,1200,Yes,Silver,Silver,Yes
465,Panasonic,12990.0,4.3,NA-F62B3HRB,Fully,Top,4.975,6.2,Foam Wash,720,No,Grey,Grey,Yes
466,BOSCH,22300.0,3.6,WOE702D2IN,Fully,Top,4.975,7.0,Pulsator,680,No,Grey,Dark Grey,No
467,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
468,TCL,15990.0,3.7,TWA85-F307GM,Fully,Top,4.975,8.5,Pulsator,800,No,"White, Grey",White,Yes
469,LG,19000.0,4.4,T7569NDDLH,Fully,Top,4.975,6.5,Pulsator Wash,780,No,Silver,Middle Free Silver,Yes
470,Lloyd,10450.0,4.0,LWMS70BE1,Semi,Top,4.975,7.0,Pulsator,600,No,"White, Blue",Blue,No
471,LG,26990.0,4.4,FHM1065ZDL.ALSQEIL,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,Yes
472,Godrej,15790.0,4.2,WT EON ALLURE EC 7.5 ROGR CNA,Fully,Top,4.975,7.5,Aquajet Pulsator,800,No,Grey,Grey,Yes
473,SAMSUNG,32900.0,3.5,WW66R22EK0X/TL,Fully,Front,5.0,6.5,Tumble,1200,No,Grey,Grey,Yes
474,TOSHIBA,11699.0,5.0,VH-J85W-IND,Semi,Top,4.975,7.5,Pulsator,1250,No,"Black, White, Gold",White,No
475,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
476,Mitashi,15890.0,4.2,MiFAWM62v20,Fully,Top,4.975,6.2,"Normal, Wool, Underwear, Jeans, Duvet, Eco, Gentle and Quick Wash",550,No,Grey,Grey,No
477,SAMSUNG,31100.0,4.5,WW66R22EK0S/TL,Fully,Front,5.0,6.5,Tumble,1200,No,Silver,Silver,Yes
478,ONIDA,14599.0,3.3,T70FGD,Fully,Top,5.0,7.0,Pulsator,750,No,Grey,Grey,No
479,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
