,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
260,SAMSUNG,12690.0,4.4,WT75M3200HL/TL,Semi,Top,4.975,7.5,Pulsator Wash,740,No,"Purple, White, Grey",Light Grey,No
261,LG,20990.0,4.2,T70SPSF2Z,Fully,Top,5.0,7.0,Pulsator,780,No,Silver,Middle Free Silver,No
262,Haier,16335.0,4.2,HWM75-707NZP,Fully,Top,4.975,7.5,Storm Pulsator Wash,700,No,Silver,Silver Grey,No
263,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
264,LG,44990.0,4.4,THD12STB,Fully,Top,4.975,12.0,Pulsator,780,Yes,Black,BLACK STEEL,Yes
265,IFB,35990.0,4.4,Elite WX,Fully,Front,5.0,7.5,Tumble Wash,1200,Yes,White,White,Yes
266,LG,24449.0,4.4,T70SJFS1Z,Fully,Top,5.0,7.0,Pulsator,780,No,Silver,Free Silver,Yes
267,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
268,SAMSUNG,20500.0,5.0,WA65N4261FF/TL,Fully,Top,5.0,6.5,Pulsator,700,No,Purple,Sparkling Plum,Yes
269,Voltas Beko,10890.0,4.2,WTT85GT,Semi,Top,5.0,8.5,Pulsator,1300,No,"White, Grey",Grey,No
270,Haier,15420.0,4.3,HWM70-707NZP,Fully,Top,4.975,7.0,Tumble Wash,1000,No,"Grey, Maroon",Maroon,No
271,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
272,Godrej,15290.0,4.3,WTA EON 650 CI,Fully,Top,4.975,6.5,Pulsator Wash,700,No,Red,Autumn Red,No
273,Whirlpool,15490.0,4.3,Ace XL 9 GRAPHITE GREY(5YR)-E,Semi,Top,5.0,9.0,Impeller,1400,No,Grey,Graphite grey,No
274,SAMSUNG,13290.0,4.4,WA62M4100HY/TL 01,Fully,Top,4.975,6.2,Center Jet Pulsator Wash,700,No,Grey,"Sparkling Grey, Imperial Silver",Yes
275,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
276,MOTOROLA,35590.0,4.1,80WDIWBMDG,Washer,Dryer,4.975,8.0,Pulsator Wash,1200,Yes,Grey,Dark Grey,No
277,LG,28590.0,4.6,T80SJSS1Z,Fully,Top,4.975,8.0,Pulsator,780,No,Grey,Stainless Steel-VCM,Yes
278,Whirlpool,16690.0,4.4,ACE XL 9.5 Royal Purple (5YR),Semi,Top,4.975,9.5,3D Turbo Impeller Wash,1400,No,"Purple, White",Royal Purple,No
279,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
280,Whirlpool,9990.0,4.4,Superb Atom 62I - Dark Grey (5YR),Semi,Top,4.975,6.2,Impeller Wash,1450,No,Grey,Dark Grey,No
281,Godrej,11290.0,4.2,WS EDGE CLS 7.5 PN2 M ROPL,Semi,Top,4.975,7.5,Pulsator,1400,No,"White, Purple",Royal Purple,No
282,LG,35999.0,3.6,FHT1207ZNL,Fully,Front,5.0,7.0,Tumble,1000,Yes,Silver,Silver,Yes
283,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
284,IFB,29990.0,4.4,EVA ZXS,Fully,Front,5.0,6.0,Tumble,1000,Yes,Silver,Sliver,No
285,Godrej,22490.0,4.2,WF Eon 700 PAE,Fully,Front,4.975,7.0,Tumble Wash,800,Yes,White,White,No
286,Whirlpool,10930.0,4.4,Ace 7.0 Supreme Plus (Coral Red) (5YR),Semi,Top,4.975,7.0,Impeller Wash,1400,No,Red,Coral Red,No
287,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
288,BOSCH,36890.0,4.3,WAJ2846WIN,Fully,Front,4.975,8.0,Pulsator,1400,Yes,White,White,No
289,SAMSUNG,12690.0,4.4,WT75M3200HL/TL,Semi,Top,4.975,7.5,Pulsator Wash,740,No,"Purple, White, Grey",Light Grey,No
290,MOTOROLA,19990.0,4.2,80TLIWBM5DG,Fully,Top,5.0,8.0,Pulsator,700,No,Grey,Dark Grey,No
291,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
292,SAMSUNG,24990.0,4.4,WW60R20GLMW/TL,Fully,Front,4.975,6.0,Tumble,1000,Yes,White,White,No
293,BOSCH,30999.0,5.0,WAJ2426WIN,Fully,Front,4.975,7.0,Pulsator,1200,Yes,White,White,No
294,Haier,8990.0,3.8,HTW65-1187BO,Semi,Top,4.975,6.5,Normal Wash,1300,No,White,Burgundy,No
295,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
296,LG,29399.0,3.7,T90SJSS1Z,Fully,Top,4.975,9.0,Pulsator,800,No,Silver,Stainless Steel-VCM,No
297,LG,29490.0,4.5,T90SJSS1Z,Fully,Top,5.0,9.0,Pulsator,780,No,Grey,Stainless Silver,Yes
299,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
300,LG,14890.0,4.4,P7535SMMZ,Semi,Top,5.0,7.5,Pulsator,1350,No,"Pink, White",Mauve,Yes
301,LG,67790.0,4.7,FHD1057STB,Washer,Dryer,4.975,10.5,Tumble,1400,Yes,Black,Black Steel,Yes
302,Haier,11990.0,4.3,HTW80-1128BT,Semi,Top,4.975,8.0,Agitator,1300,No,"White, Maroon",Burgundy,Yes
303,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
304,SAMSUNG,25990.0,4.3,WW65R20GLSW/TL,Fully,Front,5.0,6.5,Tumble,1000,Yes,White,White,Yes
305,LG,13149.0,4.5,P7010RRAY,Semi,Top,4.0,7.0,Pulsator,1350,No,"White, Maroon",Burgundy,No
306,LG,12640.0,3.8,P7020NGAZ,Semi,Top,5.0,7.0,Normal Pulsator Wash,1350,No,"Grey, White",Dark Gray,No
307,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
308,Midea,14490.0,4.2,MA200W70/G-IN,Fully,Top,5.0,7.0,Pulsator,680,No,Grey,Dark Grey,Yes
309,IFB,28690.0,4.4,EVA ZX,Fully,Front,5.0,6.0,Tumble,1000,Yes,White,White,No
310,LG,24449.0,4.4,T70SJFS1Z,Fully,Top,5.0,7.0,Pulsator,780,No,Silver,Free Silver,Yes
311,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
312,IFB,26090.0,4.2,NEODIVA-VX,Fully,Front,5.0,6.0,Tumble,800,Yes,White,White,No
313,SAMSUNG,13290.0,4.4,WA62M4100HY/TL 01,Fully,Top,4.975,6.2,Center Jet Pulsator Wash,700,No,Grey,"Sparkling Grey, Imperial Silver",Yes
314,Galanz,37990.0,4.0,XQG100-DT614VE,Washer,Dryer,4.975,10.0,Tumble,1400,Yes,Silver,Silver,Yes
315,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
316,Voltas Beko,5470.0,4.0,WST75BBRT,Washer,,4.975,7.5,PULSE,800,No,White,WHITE,No
317,Voltas Beko,5490.0,4.0,WST75BBRT,Washer,,4.975,7.5,Pulsator,780,No,"Maroon, White",Burgundy,No
318,Whirlpool,13240.0,4.3,WM ROYAL 6.0 GREY 5YMW,Fully,Top,5.0,6.0,Agipellar,740,No,Grey,Grey,No
319,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
320,ONIDA,5990.0,4.3,W70G,Washer,,4.975,7.0,Pulsator,780,No,"White, Green",Green,No
321,LG,37990.0,3.5,FHT1208ZNL,Fully,Front,5.0,8.0,TUMBLE WASH,1200,Yes,Silver,SILVER,No
322,Haier,14239.0,4.3,HWM65-707NZP,Fully,Top,4.975,6.5,Deep Plate Pulsator Wash,700,No,Silver,Silver Grey,No
323,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
324,ONIDA,10990.0,4.2,SMARTCARE 80SCTR,Semi,Top,4.975,8.0,Pulsator Wash,1450,No,Red,Lava Red,Yes
325,Panasonic,31279.0,3.8,NA-127MB3L01,Fully,Front,5.0,7.0,Agitator,1200,Yes,Silver,Silver,No
326,TCL,21990.0,4.4,TWF70-G123061A03,Fully,Front,4.975,7.0,Pulsator,1200,Yes,White,White,Yes
327,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
328,Godrej,13490.0,4.2,WS Edge Pro 900 ES LISP,Semi,Top,4.975,9.0,Pulsator,1400,No,"White, Purple",Lilac Sprinkle,No
329,Lloyd,18990.0,4.0,LWMT70GI1,Fully,Top,5.0,7.0,Pulsator,680,No,Grey,Dark Grey,No
330,Haier,37999.0,4.3,HW75-BD12756NZP,Fully,Front,4.975,7.5,Tumble,1200,Yes,Gold,Golden,Yes
331,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
332,Panasonic,25490.0,4.8,NA-F80A5HRB,Fully,Top,4.975,8.0,Active Foam Wash,700,No,"White, Grey",Light Grey,No
333,LG,28519.0,4.5,FHT1006ZNW,Fully,Front,5.0,6.0,Tumble,1000,Yes,White,White,No
334,Voltas Beko,10890.0,4.2,WTT85GT,Semi,Top,5.0,8.5,Pulsator,1300,No,"White, Grey",Grey,No
335,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
336,Godrej,13490.0,4.2,WS Edge Pro 900 ES LISP,Semi,Top,4.975,9.0,Pulsator,1400,No,"White, Purple",Lilac Sprinkle,No
337,Haier,13990.0,4.3,HWM 65 707 GNZP,Fully,Top,4.975,6.5,Pulsator,740,No,Gold,Champaign Gold,No
